layer,head,cosine_similarity
0,0,0.7790608406066895
0,1,0.8588151931762695
0,2,0.7089905738830566
0,3,0.7325524687767029
0,4,0.8801098465919495
0,5,0.9422420859336853
1,0,0.8500964641571045
1,1,0.964097797870636
1,2,0.9610790610313416
1,3,0.964361310005188
1,4,0.6152829527854919
1,5,0.9093115925788879
2,0,0.8047550916671753
2,1,0.9232656359672546
2,2,0.8864874839782715
2,3,0.767512857913971
2,4,0.8832826614379883
2,5,0.9415990710258484
3,0,0.8350056409835815
3,1,0.7395286560058594
3,2,0.8196007013320923
3,3,0.8469514846801758
3,4,0.8039146661758423
3,5,0.9127110242843628
4,0,0.7589408159255981
4,1,0.8309710025787354
4,2,0.800831139087677
4,3,0.8642605543136597
4,4,0.8712912797927856
4,5,0.8345011472702026
5,0,0.8104485273361206
5,1,0.7841072082519531
5,2,0.8152689933776855
5,3,0.8306081295013428
5,4,0.7844187021255493
5,5,0.8109448552131653
6,0,0.7842226624488831
6,1,0.77464759349823
6,2,0.8573775291442871
6,3,0.7720773220062256
6,4,0.7682122588157654
6,5,0.8132039308547974
7,0,0.7900772094726562
7,1,0.7824127674102783
7,2,0.835132896900177
7,3,0.7577322721481323
7,4,0.8673127889633179
7,5,0.8119667172431946
8,0,0.8273211717605591
8,1,0.7898634076118469
8,2,0.7431564331054688
8,3,0.8397531509399414
8,4,0.8646870851516724
8,5,0.7914729118347168
9,0,0.8851017951965332
9,1,0.7637532949447632
9,2,0.7527675628662109
9,3,0.7734609842300415
9,4,0.8644335865974426
9,5,0.8300672173500061
10,0,0.9121540784835815
10,1,0.9338867664337158
10,2,0.9186172485351562
10,3,0.8984746932983398
10,4,0.9191763401031494
10,5,0.9191706776618958
11,0,0.9350603818893433
11,1,0.9453067779541016
11,2,0.9556229114532471
11,3,0.9288715124130249
11,4,0.9320461750030518
11,5,0.9741812348365784
mean,mean,0.8422220953636699
