layer,head,cosine_similarity
0,0,0.7879387736320496
0,1,0.8590698838233948
0,2,0.6765333414077759
0,3,0.7821037173271179
0,4,0.9010651707649231
0,5,0.9371742606163025
1,0,0.8542262315750122
1,1,0.9639826416969299
1,2,0.9617841243743896
1,3,0.9433119297027588
1,4,0.7663604021072388
1,5,0.8930801749229431
2,0,0.755084753036499
2,1,0.9189150333404541
2,2,0.88067227602005
2,3,0.8693021535873413
2,4,0.8799002766609192
2,5,0.9436893463134766
3,0,0.8313446044921875
3,1,0.7101873159408569
3,2,0.8356126546859741
3,3,0.8484590649604797
3,4,0.7905487418174744
3,5,0.9075746536254883
4,0,0.7088251113891602
4,1,0.7924439907073975
4,2,0.8064379692077637
4,3,0.8729436993598938
4,4,0.8727728128433228
4,5,0.8328505754470825
5,0,0.6053248643875122
5,1,0.8136178255081177
5,2,0.7916437983512878
5,3,0.738495945930481
5,4,0.7658479809761047
5,5,0.7847912311553955
6,0,0.7110521793365479
6,1,0.7354551553726196
6,2,0.8275510668754578
6,3,0.7344064712524414
6,4,0.7366997003555298
6,5,0.7514673471450806
7,0,0.7551959753036499
7,1,0.7578514814376831
7,2,0.8011351227760315
7,3,0.7542014122009277
7,4,0.8044537305831909
7,5,0.793866753578186
8,0,0.8143743276596069
8,1,0.7779948711395264
8,2,0.7241612672805786
8,3,0.842616081237793
8,4,0.8735485076904297
8,5,0.7817015647888184
9,0,0.8469241857528687
9,1,0.6798735857009888
9,2,0.9386122822761536
9,3,0.7588707208633423
9,4,0.8115719556808472
9,5,0.8274204730987549
10,0,0.9348574876785278
10,1,0.9477313756942749
10,2,0.9134840965270996
10,3,0.9070349931716919
10,4,0.9288313984870911
10,5,0.9195420145988464
11,0,0.9819977879524231
11,1,0.9833175539970398
11,2,0.9862548112869263
11,3,0.9791932702064514
11,4,0.9797376990318298
11,5,0.9926304817199707
mean,mean,0.8358268961310387
