layer,head,cosine_similarity
0,0,0.7278493642807007
0,1,0.8908515572547913
0,2,0.6860026121139526
0,3,0.5986944437026978
0,4,0.8792767524719238
0,5,0.9254285097122192
1,0,0.8463774919509888
1,1,0.9612984657287598
1,2,0.9609084129333496
1,3,0.963922381401062
1,4,0.8448405265808105
1,5,0.8786152601242065
2,0,0.7630069851875305
2,1,0.9120675325393677
2,2,0.8511772155761719
2,3,0.8681812286376953
2,4,0.8555664420127869
2,5,0.9408180117607117
3,0,0.8187500238418579
3,1,0.6882543563842773
3,2,0.8359206914901733
3,3,0.8034234642982483
3,4,0.7750064134597778
3,5,0.8942070007324219
4,0,0.7303466796875
4,1,0.7739300727844238
4,2,0.7929607629776001
4,3,0.8635827302932739
4,4,0.8135461807250977
4,5,0.7944464683532715
5,0,0.5744547843933105
5,1,0.8074811697006226
5,2,0.7493534684181213
5,3,0.7553011178970337
5,4,0.7577123641967773
5,5,0.7487506866455078
6,0,0.6813803911209106
6,1,0.6940237283706665
6,2,0.7958762645721436
6,3,0.6669797897338867
6,4,0.7031937837600708
6,5,0.7202770709991455
7,0,0.7054091095924377
7,1,0.7359877228736877
7,2,0.8049189448356628
7,3,0.7089675664901733
7,4,0.783596396446228
7,5,0.8134036064147949
8,0,0.7847485542297363
8,1,0.7731091380119324
8,2,0.6924527883529663
8,3,0.8333649039268494
8,4,0.8829978704452515
8,5,0.7583542466163635
9,0,0.8402062654495239
9,1,0.6727335453033447
9,2,0.9326877593994141
9,3,0.7296394109725952
9,4,0.8041960597038269
9,5,0.8068391680717468
10,0,0.9315406084060669
10,1,0.9427512884140015
10,2,0.908123254776001
10,3,0.9105249047279358
10,4,0.9193481802940369
10,5,0.9185274839401245
11,0,0.9383063912391663
11,1,0.9528132677078247
11,2,0.9555895328521729
11,3,0.9250062108039856
11,4,0.9184702634811401
11,5,0.966789960861206
